id,name,cost,encumbrance,slotType,requiredSlots,abilities,properties,rarity,categories,description
t1,ironfang,gold (5),0,miscellaneous,1,,,0,Miscellaneous,This trinket will make even the most docile dog appear ferocious. the basic bite -e322- of animals becomes piercing.
t2,ring of Cold Resistance,"gold (10), sapphires (3)",0,miscellaneous,1,coldResistance (5),,0,Miscellaneous,A crucial piece of equipment for anyone insane enough to explore the highest peaks of this world.
t3,ring of Fire Resistance,"gold (10), rubies (3)",0,miscellaneous,1,fireResistance (5),,0,Miscellaneous,A crucial piece of equipment for anyone insane enough to explore the scorching deserts of this world.
t4,ring of Poison Resistance,"gold (10), emeralds (3)",0,miscellaneous,1,poisonResistance (5),,0,Miscellaneous,A crucial piece of equipment for anyone insane enough to explore the noxious swamps of this world.
t5,ring of Shock Resistance,"gold (10), diamonds (3)",0,miscellaneous,1,shockResistance (5),,0,Miscellaneous,A crucial piece of equipment for anyone insane enough to explore the lightning storms of this world.
t6,crystalized warrior's blood,"gold (18), bloodstones (4)",0,miscellaneous,1,"strengthBonus (1), attack Bonus (1)",,0,Miscellaneous,You've been told that this gem is the crystalized blood of a great warrior of times past. as you hold it in your hand the thought itself seems to fill you with strength: +1 str and +1 attack.
t7,Barkskin amulet,"gold (15), emeralds (4)",0,miscellaneous,1,fireResistance (-5),barkskin,0,Miscellaneous,"This magical amulet turns your flesh rough and barklike... which makes you a great target practice for those Fireballs (natural prot is set to 10 or +1 if already >= that, -5 fire Resistance)"
t8,champion's skull,"gold (15), onyxes (4)",0,miscellaneous,1,,,0,Miscellaneous,Apparently this is the skull of a legendary general. it is said that carrying it through training helps to gain insight and skill faster: +5% on each minute tick for task completion.
t9,pendant of fate,"gold (15), pearls (4)",0,miscellaneous,1,,twistFate,0,Miscellaneous,This pendant will magically prevent some catastrophes from striking the wearer. not that its effectiveness could ever be verified.
t10,vigorous belt,"gold (20), topazes (5)",0,miscellaneous,1,reinvigoration (2),,0,Miscellaneous,"This belt is highly sought after by those who wear heavier armor. It will constantly reinvigorate the wearer, decreasing their fatigue."